# Model hyperparameter values by iteration (iter npts parameters)
  0.0000000000E+00  5.0000000000E+00       3.0958062586E+00  1.1366499819E-01
  1.0000000000E+00  6.0000000000E+00       2.9875678591E+00  7.6571878441E-02
  2.0000000000E+00  7.0000000000E+00       2.9734859236E+00  6.8803142485E-02
  3.0000000000E+00  8.0000000000E+00       3.1849416509E+00  7.0390735406E-02
  4.0000000000E+00  9.0000000000E+00       8.0405577162E+00  1.0238775392E-01
  5.0000000000E+00  1.0000000000E+01       8.5841215472E+00  1.1918734035E-01
  6.0000000000E+00  1.1000000000E+01       8.5974400637E+00  1.1598185011E-01
  7.0000000000E+00  1.2000000000E+01       8.7203951672E+00  1.1965199829E-01
  8.0000000000E+00  1.3000000000E+01       8.0768193023E+00  1.1315401065E-01
  9.0000000000E+00  1.4000000000E+01       8.2311803327E+00  1.1494137915E-01
  1.0000000000E+01  1.5000000000E+01       8.3445833552E+00  1.1824750554E-01
